Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,14163,2002,1,21.3
IDCJAC0003,14163,2002,2,17.1
IDCJAC0003,14163,2002,3,24.7
IDCJAC0003,14163,2002,4,23.2
IDCJAC0003,14163,2002,5,21.1
IDCJAC0003,14163,2002,6,21.2
IDCJAC0003,14163,2002,7,21.2
IDCJAC0003,14163,2002,8,23.8
IDCJAC0003,14163,2002,9,22
IDCJAC0003,14163,2002,10,25
IDCJAC0003,14163,2002,11,23.4
IDCJAC0003,14163,2002,12,24.8
IDCJAC0003,14163,2003,1,18.8
IDCJAC0003,14163,2003,2,18.3
IDCJAC0003,14163,2003,3,21.8
IDCJAC0003,14163,2003,4,23.6
IDCJAC0003,14163,2003,5,21.1
IDCJAC0003,14163,2003,6,19.7
IDCJAC0003,14163,2003,7,20
IDCJAC0003,14163,2003,8,21.4
IDCJAC0003,14163,2003,9,24.1
IDCJAC0003,14163,2003,10,25.3
IDCJAC0003,14163,2003,11,22.9
IDCJAC0003,14163,2003,12,18.6
IDCJAC0003,14163,2004,1,20.5
IDCJAC0003,14163,2004,2,17.1
IDCJAC0003,14163,2004,3,20.5
IDCJAC0003,14163,2004,4,24.8
IDCJAC0003,14163,2004,5,18.2
IDCJAC0003,14163,2004,6,19.9
IDCJAC0003,14163,2004,7,21.7
IDCJAC0003,14163,2004,8,24.1
IDCJAC0003,14163,2004,9,25.4
IDCJAC0003,14163,2004,10,24.2
IDCJAC0003,14163,2004,11,23.6
IDCJAC0003,14163,2004,12,20.9
IDCJAC0003,14163,2005,1,21.7
IDCJAC0003,14163,2005,2,24.7
IDCJAC0003,14163,2005,3,21.3
IDCJAC0003,14163,2005,4,22.8
IDCJAC0003,14163,2005,5,21.9
IDCJAC0003,14163,2005,6,20.6
IDCJAC0003,14163,2005,7,21.1
IDCJAC0003,14163,2005,8,23.5
IDCJAC0003,14163,2005,9,25.8
IDCJAC0003,14163,2005,10,24.8
IDCJAC0003,14163,2005,11,23.6
IDCJAC0003,14163,2006,1,15.9
IDCJAC0003,14163,2006,2,25.3
IDCJAC0003,14163,2006,3,18.7
IDCJAC0003,14163,2006,4,20.8
IDCJAC0003,14163,2006,5,22.6
IDCJAC0003,14163,2006,6,21.1
IDCJAC0003,14163,2006,7,22.1
IDCJAC0003,14163,2006,8,24.9
IDCJAC0003,14163,2006,9,26.4
IDCJAC0003,14163,2006,10,26
IDCJAC0003,14163,2006,11,24.7
IDCJAC0003,14163,2006,12,21.3
IDCJAC0003,14163,2007,1,17.8
IDCJAC0003,14163,2007,2,21.6
IDCJAC0003,14163,2007,3,16.5
IDCJAC0003,14163,2007,4,23.3
IDCJAC0003,14163,2007,5,20.7
IDCJAC0003,14163,2007,6,18
IDCJAC0003,14163,2007,7,21.4
IDCJAC0003,14163,2007,8,22.6
IDCJAC0003,14163,2007,9,24.8
IDCJAC0003,14163,2007,10,24.1
IDCJAC0003,14163,2007,11,20.5
IDCJAC0003,14163,2007,12,18.6
IDCJAC0003,14163,2008,1,19.6
IDCJAC0003,14163,2008,2,15.3
IDCJAC0003,14163,2008,3,22.9
IDCJAC0003,14163,2008,4,24.1
IDCJAC0003,14163,2008,5,21.6
IDCJAC0003,14163,2008,6,19.2
IDCJAC0003,14163,2008,7,20.9
IDCJAC0003,14163,2008,8,22.6
IDCJAC0003,14163,2008,9,23.8
IDCJAC0003,14163,2008,10,24.1
IDCJAC0003,14163,2008,11,21.9
IDCJAC0003,14163,2008,12,17.2
IDCJAC0003,14163,2009,1,18.7
IDCJAC0003,14163,2009,2,17.6
IDCJAC0003,14163,2009,3,24.8
IDCJAC0003,14163,2009,4,21.9
IDCJAC0003,14163,2009,5,19.9
IDCJAC0003,14163,2009,6,19.6
IDCJAC0003,14163,2009,7,21
IDCJAC0003,14163,2009,8,22.7
IDCJAC0003,14163,2009,9,24.1
IDCJAC0003,14163,2009,10,25.6
IDCJAC0003,14163,2009,11,22.1
IDCJAC0003,14163,2009,12,19
IDCJAC0003,14163,2010,1,16.5
IDCJAC0003,14163,2010,2,21.8
IDCJAC0003,14163,2010,3,23.7
IDCJAC0003,14163,2010,4,19.2
IDCJAC0003,14163,2010,5,18.9
IDCJAC0003,14163,2010,6,20.3
IDCJAC0003,14163,2010,7,19.4
IDCJAC0003,14163,2010,8,21.6
IDCJAC0003,14163,2010,9,21.8
IDCJAC0003,14163,2010,10,22.7
IDCJAC0003,14163,2010,11,22.5
IDCJAC0003,14163,2010,12,17.9
IDCJAC0003,14163,2011,1,16
IDCJAC0003,14163,2011,2,16.9
IDCJAC0003,14163,2011,3,17
IDCJAC0003,14163,2011,4,20.5
IDCJAC0003,14163,2011,5,20.8
IDCJAC0003,14163,2011,6,20.1
IDCJAC0003,14163,2011,7,19.9
IDCJAC0003,14163,2011,8,22.8
IDCJAC0003,14163,2011,9,24.1
IDCJAC0003,14163,2011,10,23
IDCJAC0003,14163,2011,11,21.6
IDCJAC0003,14163,2011,12,20
IDCJAC0003,14163,2012,1,19.6
IDCJAC0003,14163,2012,2,21.6
IDCJAC0003,14163,2012,3,16.7
IDCJAC0003,14163,2012,4,22.9
IDCJAC0003,14163,2012,5,20.3
IDCJAC0003,14163,2012,6,20.8
IDCJAC0003,14163,2012,7,22.4
IDCJAC0003,14163,2012,8,25.8
IDCJAC0003,14163,2012,9,26.9
IDCJAC0003,14163,2012,10,26.8
IDCJAC0003,14163,2012,11,23.5
IDCJAC0003,14163,2012,12,22.5
IDCJAC0003,14163,2013,1,19.9
IDCJAC0003,14163,2013,2,22.2
IDCJAC0003,14163,2013,3,19.9
IDCJAC0003,14163,2013,4,23.1
IDCJAC0003,14163,2013,5,20
IDCJAC0003,14163,2013,6,19.1
IDCJAC0003,14163,2013,7,20.6
IDCJAC0003,14163,2013,8,23.6
IDCJAC0003,14163,2013,9,24.4
IDCJAC0003,14163,2013,10,23.8
IDCJAC0003,14163,2013,11,18.8
IDCJAC0003,14163,2013,12,15.8
IDCJAC0003,14163,2014,1,16.5
IDCJAC0003,14163,2014,2,18.3
IDCJAC0003,14163,2014,3,22.4
IDCJAC0003,14163,2014,4,20.1
IDCJAC0003,14163,2014,5,20.4
IDCJAC0003,14163,2014,6,20.2
IDCJAC0003,14163,2014,7,20.8
IDCJAC0003,14163,2014,8,23.6
IDCJAC0003,14163,2014,9,25.3
IDCJAC0003,14163,2014,10,26.6
IDCJAC0003,14163,2014,11,22.3
IDCJAC0003,14163,2014,12,19.5
IDCJAC0003,14163,2015,1,13.6
IDCJAC0003,14163,2015,2,20.3
IDCJAC0003,14163,2015,3,21.2
IDCJAC0003,14163,2015,4,22.4
IDCJAC0003,14163,2015,5,21.1
IDCJAC0003,14163,2015,6,20
IDCJAC0003,14163,2015,7,21
IDCJAC0003,14163,2015,8,22.8
IDCJAC0003,14163,2015,9,24.1
IDCJAC0003,14163,2015,10,25.2
IDCJAC0003,14163,2015,11,22.9
IDCJAC0003,14163,2015,12,15
IDCJAC0003,14163,2016,1,20.1
IDCJAC0003,14163,2016,2,21.5
IDCJAC0003,14163,2016,3,19.2
IDCJAC0003,14163,2016,4,21.2
IDCJAC0003,14163,2016,5,19.6
IDCJAC0003,14163,2016,6,19.8
IDCJAC0003,14163,2016,7,20.3
IDCJAC0003,14163,2016,8,22.1
IDCJAC0003,14163,2016,9,22
IDCJAC0003,14163,2016,10,23.8
IDCJAC0003,14163,2016,11,22.6
IDCJAC0003,14163,2016,12,18.5
IDCJAC0003,14163,2017,1,20.1
IDCJAC0003,14163,2017,2,19.8
IDCJAC0003,14163,2017,3,20.6
IDCJAC0003,14163,2017,4,20.6
IDCJAC0003,14163,2017,5,21.1
IDCJAC0003,14163,2017,6,19.9
IDCJAC0003,14163,2017,7,20.1
IDCJAC0003,14163,2017,8,22.6
IDCJAC0003,14163,2017,9,24.4
IDCJAC0003,14163,2017,10,22.9
IDCJAC0003,14163,2017,11,23.2
IDCJAC0003,14163,2017,12,22.8
IDCJAC0003,14163,2018,1,15.9
IDCJAC0003,14163,2018,2,19.3
IDCJAC0003,14163,2018,3,22.8
IDCJAC0003,14163,2018,4,22
IDCJAC0003,14163,2018,5,21.2
IDCJAC0003,14163,2018,6,19.9
IDCJAC0003,14163,2018,7,20.5
IDCJAC0003,14163,2018,8,22.1
IDCJAC0003,14163,2018,9,24.4
IDCJAC0003,14163,2018,10,24.8
IDCJAC0003,14163,2018,11,22.6
IDCJAC0003,14163,2018,12,22.3
IDCJAC0003,14163,2019,1,19
IDCJAC0003,14163,2019,2,23.9
IDCJAC0003,14163,2019,3,22.4
IDCJAC0003,14163,2019,4,21
IDCJAC0003,14163,2019,5,20
IDCJAC0003,14163,2019,6,19.8
IDCJAC0003,14163,2019,7,20.8
IDCJAC0003,14163,2019,8,22.4
IDCJAC0003,14163,2019,9,24.5
IDCJAC0003,14163,2019,10,24.4
IDCJAC0003,14163,2019,11,25
IDCJAC0003,14163,2019,12,22.4
IDCJAC0003,14163,2020,1,19.7
IDCJAC0003,14163,2020,2,22.3
IDCJAC0003,14163,2020,3,22.8
IDCJAC0003,14163,2020,4,21.7
IDCJAC0003,14163,2020,5,20.4
IDCJAC0003,14163,2020,6,20.2
IDCJAC0003,14163,2020,7,20.9
IDCJAC0003,14163,2020,8,22
IDCJAC0003,14163,2020,9,23.3
IDCJAC0003,14163,2020,10,24.2
IDCJAC0003,14163,2020,11,24
IDCJAC0003,14163,2020,12,18.7
IDCJAC0003,14163,2021,1,17.5
IDCJAC0003,14163,2021,2,19.1
IDCJAC0003,14163,2021,3,22
IDCJAC0003,14163,2021,4,21.8
IDCJAC0003,14163,2021,5,21.5
IDCJAC0003,14163,2021,6,19.7
IDCJAC0003,14163,2021,7,20.5
IDCJAC0003,14163,2021,8,22.2
IDCJAC0003,14163,2021,9,23.8
IDCJAC0003,14163,2021,10,23.5
IDCJAC0003,14163,2021,11,23.6
IDCJAC0003,14163,2021,12,20.6
IDCJAC0003,14163,2022,1,20
IDCJAC0003,14163,2022,2,18.6
IDCJAC0003,14163,2022,3,22.9
IDCJAC0003,14163,2022,4,22.7
IDCJAC0003,14163,2022,5,20.7
IDCJAC0003,14163,2022,6,18.8
IDCJAC0003,14163,2022,7,20.6
IDCJAC0003,14163,2022,8,21.7
IDCJAC0003,14163,2022,9,23.1
IDCJAC0003,14163,2022,10,24
IDCJAC0003,14163,2022,11,22.4
IDCJAC0003,14163,2022,12,20.9
IDCJAC0003,14163,2023,1,19.3
IDCJAC0003,14163,2023,2,18.6
IDCJAC0003,14163,2023,3,22.4
IDCJAC0003,14163,2023,4,20.9
IDCJAC0003,14163,2023,5,21.4
IDCJAC0003,14163,2023,6,19.7
IDCJAC0003,14163,2023,7,20.1
IDCJAC0003,14163,2023,8,22.5
IDCJAC0003,14163,2023,9,24.6
IDCJAC0003,14163,2023,10,25
IDCJAC0003,14163,2023,11,23.6
IDCJAC0003,14163,2023,12,21.7
IDCJAC0003,14163,2024,1,16
IDCJAC0003,14163,2024,2,22.4
IDCJAC0003,14163,2024,3,20.1
IDCJAC0003,14163,2024,4,22.8
IDCJAC0003,14163,2024,5,21.2
IDCJAC0003,14163,2024,6,20
IDCJAC0003,14163,2024,7,20.1
IDCJAC0003,14163,2024,8,22.7
IDCJAC0003,14163,2024,9,23.7
