Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,086018,2023,06,07,3.4
IDCJAC0016,086018,2023,06,08,7.4
IDCJAC0016,086018,2023,06,09,8.4
IDCJAC0016,086018,2023,06,10,7.0
IDCJAC0016,086018,2023,06,11,6.8
IDCJAC0016,086018,2023,06,12,7.1
IDCJAC0016,086018,2023,06,13,6.2
IDCJAC0016,086018,2023,06,14,6.8
IDCJAC0016,086018,2023,06,15,5.0
IDCJAC0016,086018,2023,06,16,9.1
IDCJAC0016,086018,2023,06,17,8.2
IDCJAC0016,086018,2023,06,18,9.0
IDCJAC0016,086018,2023,06,19,7.3
IDCJAC0016,086018,2023,06,20,8.3
IDCJAC0016,086018,2023,06,21,8.8
IDCJAC0016,086018,2023,06,22,7.0
IDCJAC0016,086018,2023,06,23,6.2
IDCJAC0016,086018,2023,06,24,8.4
IDCJAC0016,086018,2023,06,25,5.5
IDCJAC0016,086018,2023,06,26,5.3
IDCJAC0016,086018,2023,06,27,8.3
IDCJAC0016,086018,2023,06,28,5.2
IDCJAC0016,086018,2023,06,29,6.3
IDCJAC0016,086018,2023,06,30,6.1
IDCJAC0016,086018,2023,07,01,8.1
IDCJAC0016,086018,2023,07,02,6.4
IDCJAC0016,086018,2023,07,03,6.9
IDCJAC0016,086018,2023,07,04,4.9
IDCJAC0016,086018,2023,07,05,5.7
IDCJAC0016,086018,2023,07,06,9.2
IDCJAC0016,086018,2023,07,07,8.8
IDCJAC0016,086018,2023,07,08,7.3
IDCJAC0016,086018,2023,07,09,6.4
IDCJAC0016,086018,2023,07,10,7.6
IDCJAC0016,086018,2023,07,11,9.1
IDCJAC0016,086018,2023,07,12,9.1
IDCJAC0016,086018,2023,07,13,9.5
IDCJAC0016,086018,2023,07,14,7.2
IDCJAC0016,086018,2023,07,15,4.3
IDCJAC0016,086018,2023,07,16,9.1
IDCJAC0016,086018,2023,07,17,10.2
IDCJAC0016,086018,2023,07,18,6.2
IDCJAC0016,086018,2023,07,19,9.2
IDCJAC0016,086018,2023,07,20,6.0
IDCJAC0016,086018,2023,07,21,10.4
IDCJAC0016,086018,2023,07,22,10.0
IDCJAC0016,086018,2023,07,23,6.6
IDCJAC0016,086018,2023,07,24,7.3
IDCJAC0016,086018,2023,07,25,8.4
IDCJAC0016,086018,2023,07,26,9.7
IDCJAC0016,086018,2023,07,27,11.0
IDCJAC0016,086018,2023,07,28,6.8
IDCJAC0016,086018,2023,07,29,10.2
IDCJAC0016,086018,2023,07,30,10.0
IDCJAC0016,086018,2023,07,31,9.8
IDCJAC0016,086018,2023,08,01,8.8
IDCJAC0016,086018,2023,08,02,11.6
IDCJAC0016,086018,2023,08,03,11.8
IDCJAC0016,086018,2023,08,04,3.5
IDCJAC0016,086018,2023,08,05,10.8
IDCJAC0016,086018,2023,08,06,7.4
IDCJAC0016,086018,2023,08,07,8.3
IDCJAC0016,086018,2023,08,08,11.1
IDCJAC0016,086018,2023,08,09,12.2
IDCJAC0016,086018,2023,08,10,9.5
IDCJAC0016,086018,2023,08,11,8.0
IDCJAC0016,086018,2023,08,12,7.5
IDCJAC0016,086018,2023,08,13,10.0
IDCJAC0016,086018,2023,08,14,8.9
IDCJAC0016,086018,2023,08,15,12.9
IDCJAC0016,086018,2023,08,16,13.5
IDCJAC0016,086018,2023,08,17,7.3
IDCJAC0016,086018,2023,08,18,8.8
IDCJAC0016,086018,2023,08,19,7.7
IDCJAC0016,086018,2023,08,20,11.6
IDCJAC0016,086018,2023,08,21,11.7
IDCJAC0016,086018,2023,08,22,4.6
IDCJAC0016,086018,2023,08,23,13.7
IDCJAC0016,086018,2023,08,24,13.8
IDCJAC0016,086018,2023,08,25,14.8
IDCJAC0016,086018,2023,08,26,9.3
